#Table1
u,g,r,i,z,class,redshift,plate,mjd,fiberid
17.12228,16.9925,16.72122,16.25828,16.29075,QSO,0.1472984,2533,54585,612
17.78659,16.12617,15.26975,14.82298,14.54884,STAR,-0.0001088142,2812,54639,80
18.7474,17.49716,17.36618,17.34325,17.34368,STAR,-0.0003249117,1567,53172,109
18.66153,16.61767,15.84968,15.57388,15.3852,STAR,4.548058E-05,2534,53917,617
18.04693,17.00094,17.21721,17.38043,17.48092,STAR,-0.0008739063,2204,53877,10
18.68058,17.554,17.18472,16.96023,16.75671,GALAXY,0.04381554,2532,54589,571
18.24571,17.16114,16.74831,16.57143,16.49173,STAR,-0.0005535705,2184,53534,476
19.569,19.18218,18.59043,18.26034,18.10526,QSO,0.1953549,2204,53877,42
19.30495,17.7727,17.06071,16.68599,16.47399,GALAXY,0.09295362,364,52000,167
18.14658,17.02205,16.54651,16.22713,16.02324,GALAXY,0.04897038,2210,53535,197
18.40715,17.00649,16.39151,16.10572,15.95772,STAR,-0.0001505319,2812,54639,541
19.04037,16.92687,16.06259,15.74819,15.56063,STAR,0.0001546395,2534,53917,562
18.85741,17.68579,17.11835,16.89862,16.74267,STAR,-0.0006288973,2184,53534,635
17.57148,16.38217,16.04065,15.92649,15.88743,STAR,3.192928E-05,2195,54234,345
19.12185,17.20936,16.30988,15.84219,15.48164,GALAXY,0.05041869,2210,53535,238
19.23863,18.86211,18.66063,18.66477,18.69954,QSO,1.342626,2532,54589,539
19.45634,18.4164,17.78574,17.35477,17.15612,GALAXY,0.1295933,1567,53172,157
17.5272,16.21035,15.49163,15.08849,14.76232,GALAXY,0.05354019,4176,55682,330
19.39402,17.36878,16.36984,15.90116,15.52593,GALAXY,0.08710242,4065,55368,740
19.04796,18.08212,17.81658,17.57518,17.57404,GALAXY,0.1031403,1425,52913,134
18.12928,16.89766,17.0545,17.19428,17.27727,STAR,-7.054152E-05,2204,53877,110
19.04267,18.73807,18.62799,18.65487,18.49063,QSO,0.7625788,2533,54585,217
19.51849,18.01318,17.20678,16.75272,16.41388,GALAXY,0.07941317,1567,53172,287
18.11846,16.62902,16.01398,15.7925,15.66215,STAR,2.727371E-05,364,52000,372
17.89232,16.52249,15.85126,15.47591,15.19323,GALAXY,0.05082423,2533,54585,148
19.59945,18.26163,17.74958,17.45231,17.27181,GALAXY,0.05380653,1567,53172,574
18.763,17.04944,16.20297,15.75899,15.47009,GALAXY,0.05331642,4176,55682,259
19.46392,18.89363,18.85225,18.8241,18.53599,QSO,2.312959,364,52000,425
18.55131,18.53689,18.20081,18.14687,18.13208,QSO,1.381135,1567,53172,463
18.8284,17.65976,17.39708,17.33742,17.32461,STAR,-0.0002041421,2184,53534,616
