#Table1
u,g,r,i,z,class,redshift,plate,mjd,fiberid
17.79774,17.19791,17.04186,16.64716,16.65978,GALAXY,0.03203306,2527,54569,95
19.29586,18.22822,18.01623,17.95641,18.0103,STAR,-0.001720482,2193,53888,396
17.31566,16.29045,16.40437,15.82915,15.74559,STAR,-0.0001417082,1659,53224,626
16.98179,15.96772,15.55882,15.37326,15.20503,GALAXY,0.03239018,2528,54571,419
17.14097,16.11737,15.68517,15.48975,15.39696,STAR,-0.0002939202,2180,54613,225
17.58493,16.37388,15.89481,15.73502,15.62623,STAR,3.467891E-05,344,51693,533
18.62485,17.76307,17.30144,17.29495,17.11458,STAR,-0.0004033468,979,52427,233
19.12235,18.77147,18.26263,18.16067,18.13199,QSO,1.300482,1570,53149,225
19.53289,18.02003,17.42296,17.18788,17.0898,STAR,5.66594E-05,2178,54629,273
19.36578,17.98034,17.44621,17.22624,17.10002,STAR,3.197414E-05,2180,54613,179
18.71667,16.72065,16.07654,15.70446,15.41302,GALAXY,0.04735176,1687,53260,388
18.20359,16.37967,15.54104,15.12613,14.81489,GALAXY,0.02793547,979,52427,635
16.64863,14.65989,13.74368,13.30803,12.97777,GALAXY,0.04246918,2528,54571,270
19.16226,18.19354,17.87749,17.77561,17.78584,STAR,-0.0006144078,2191,54621,175
19.17401,17.90257,17.36306,17.17064,17.06455,STAR,9.27563E-05,2175,54612,574
18.9252,17.10654,16.26832,15.86064,15.55405,GALAXY,0.03479724,1414,53135,38
19.5702,17.78114,16.88452,16.40871,16.0217,GALAXY,0.04824795,980,52431,105
18.95398,17.81199,17.52168,17.41544,17.38243,STAR,5.934484E-05,2178,54629,317
18.82019,18.68989,18.66354,18.46075,18.4209,QSO,1.849213,1570,53149,604
16.3542,14.82278,14.11241,13.74622,13.49297,GALAXY,0.03112743,1570,53149,237
17.95348,17.08591,16.79202,16.66481,16.64203,STAR,-0.0005011943,2198,53918,188
19.06473,17.99676,17.53265,17.21632,17.00019,GALAXY,0.09304406,2526,54582,612
19.2788,17.3054,16.17653,15.61026,15.18625,GALAXY,0.07281286,344,51693,98
17.02625,15.84103,15.57872,15.51787,15.53162,STAR,-0.0001940172,2193,53888,536
18.15849,17.12451,16.75854,16.5869,16.54793,STAR,-0.0004271219,2178,54629,304
18.22674,16.7017,16.13402,15.92469,15.82501,STAR,-6.556603E-05,2175,54612,519
19.53545,18.55847,18.18563,18.03316,17.89463,STAR,0.00011649,2189,54624,343
17.65854,16.39372,16.1996,16.13546,16.12202,STAR,-0.0008488317,1570,53149,287
18.9794,17.86616,17.32207,16.97327,16.80672,GALAXY,0.06135502,2198,53918,189
18.4959,17.16862,16.39557,15.96491,15.66024,GALAXY,0.1142121,980,52431,215
15.69264,13.72197,12.72062,12.2395,11.88526,GALAXY,0.01854437,1837,53494,47
18.42822,18.26098,18.04605,18.01235,18.035,QSO,1.249359,2969,54586,17
18.26682,17.25827,17.2281,17.28959,17.38072,STAR,-0.001011187,2527,54569,149
17.10905,15.53972,14.94692,14.72997,14.65903,STAR,-0.000195996,2175,54612,521
19.42958,17.8372,17.07376,16.72703,16.45824,GALAXY,0.03468712,2527,54569,178
18.74874,17.47796,16.87907,16.50898,16.27933,GALAXY,0.03578851,1424,52912,384
17.96086,18.04642,18.39442,18.6695,18.96982,STAR,-2.999124E-05,2525,54569,9
19.26537,17.97281,17.5686,17.271,17.1292,GALAXY,0.1036626,979,52427,492
19.59622,18.526,17.73949,17.32938,17.09685,GALAXY,0.1962719,1729,53858,152
17.46479,16.2487,15.99941,15.91711,15.90189,STAR,-0.0005457492,980,52431,230
18.16608,16.7124,16.13717,15.92654,15.82351,STAR,-0.0002701935,2175,54612,500
19.11373,17.2215,16.27184,15.84099,15.48461,GALAXY,0.1117826,5014,55717,280
18.75425,17.44279,16.67897,16.26426,15.96589,GALAXY,0.07513567,2527,54569,599
19.18749,18.95049,18.55008,18.42522,17.93034,QSO,0.3193617,1730,53498,379
18.11718,16.31312,15.45628,15.06756,14.77347,GALAXY,0.05462515,2198,53918,200
19.16271,17.10805,16.11116,15.66157,15.3197,GALAXY,0.09093847,2198,53918,44
16.63223,15.3634,15.72771,14.52938,14.2901,STAR,0.0002061644,2175,54612,244
18.21975,17.28609,16.98875,16.86085,16.81455,STAR,-0.0004288772,2175,54612,462
19.04274,18.00159,17.63845,17.32163,17.17384,GALAXY,0.09029743,1854,53566,13
17.60667,16.38097,15.89796,15.60653,15.40156,GALAXY,0.03482066,1570,53149,469
18.59758,17.35608,16.87945,16.60131,16.44898,GALAXY,0.05061977,2526,54582,575
16.96159,15.65808,15.12171,14.88369,14.78881,STAR,-0.0003286776,2177,54557,22
17.52496,16.47909,15.98283,15.80907,15.76704,STAR,-0.0004764564,2175,54612,260
18.9639,17.38152,16.74619,16.50419,16.37917,STAR,-7.189652E-05,980,52431,629
18.68471,16.97778,16.39333,16.23576,16.17151,STAR,-0.0001088944,2180,54613,469
19.16272,18.04858,17.58357,17.26574,17.15921,GALAXY,0.09278496,1659,53224,612
19.25723,18.19519,17.69168,17.39072,17.24661,GALAXY,0.07897832,2527,54569,616
19.25043,17.53965,16.67676,16.29275,16.01224,GALAXY,0.0870531,1854,53566,39
19.5924,18.1522,17.38241,16.88036,16.52846,GALAXY,0.05862247,344,51693,232
17.9629,16.6549,16.71062,16.79979,16.84924,STAR,-0.000731921,1728,53228,17
19.37957,18.00776,17.46448,17.27392,17.19088,STAR,-3.740863E-05,2175,54612,233
19.35518,17.90876,17.54016,17.39751,17.33746,STAR,-0.0001724198,1571,53174,57
19.44965,18.27715,17.74043,17.36867,17.13323,GALAXY,0.05883729,1659,53224,300
19.39031,19.23854,18.94007,18.83939,18.82308,QSO,1.34579,1570,53149,344
18.30297,17.3341,17.00593,16.88438,16.87514,STAR,-0.0007307326,2970,54589,611
19.22462,18.85383,18.79314,18.60342,18.56175,QSO,0.5026155,1729,53858,475
18.42042,16.52285,15.62329,15.19081,14.85094,GALAXY,0.06505608,1837,53494,418
16.79515,15.42961,14.76236,14.34762,14.00197,GALAXY,0.04707736,1693,53446,395
19.11954,18.04716,17.66211,17.4843,17.4275,STAR,-0.0004588366,1692,53473,110
17.99221,16.6644,16.71957,16.78434,16.81054,STAR,-0.0003347304,980,52431,480
18.8173,17.55317,17.02481,16.8111,16.72949,GALAXY,0,2528,54571,287
18.90088,17.77054,17.23901,16.99016,16.80911,GALAXY,0.03547599,1571,53174,122
15.77554,14.76172,15.43621,14.49511,14.35409,STAR,0.0002161908,2175,54612,299
18.99634,18.13135,17.81038,17.70093,17.66634,STAR,-1.191058E-06,2177,54557,117
18.79548,17.27315,16.73314,16.37463,16.2929,GALAXY,0.0334524,2526,54582,240
18.80149,17.45064,16.74099,16.34215,16.09684,GALAXY,0.102076,1693,53446,342
18.0622,16.91711,16.40633,16.09256,15.84986,GALAXY,0.03627241,1414,53135,548
18.1155,17.18465,16.8923,16.76226,16.72282,STAR,-0.0004306068,1854,53566,600
19.36629,18.30422,17.71438,17.41191,17.33377,GALAXY,0.09352345,344,51693,353
18.95768,17.44194,16.76915,16.47824,16.32415,STAR,1.87911E-05,2180,54613,523
19.43388,18.18249,17.51868,17.16211,16.93189,GALAXY,0.0617296,1693,53446,311
18.85095,17.27445,16.44752,15.96626,15.63708,GALAXY,0.1017938,2970,54589,185
17.28757,15.97339,15.89383,15.92146,15.92211,STAR,0.0001195622,595,52023,58
18.95252,17.66166,16.98177,16.66817,16.45777,GALAXY,0.08775553,2951,54592,36
19.57734,18.47043,17.83487,17.48668,17.30892,GALAXY,0.1125092,1693,53446,379
17.74902,15.90279,15.16866,14.8457,14.67831,STAR,1.483031E-05,2177,54557,588
18.44937,16.74819,15.8813,15.40823,15.07936,GALAXY,0.05633032,1692,53473,297
18.92645,17.17771,16.28534,15.85165,15.50542,GALAXY,0.0960578,2527,54569,530
19.29026,18.9874,18.80369,18.58464,18.58839,QSO,1.525591,343,51692,613
19.30353,18.2031,17.79938,17.47415,17.34311,GALAXY,0.07681902,2527,54569,540
17.66185,16.47542,16.44769,16.49619,16.54471,STAR,-0.0003551821,1414,53135,501
17.271,15.49395,14.74228,14.40396,14.23526,STAR,-8.860538E-05,2177,54557,581
18.62253,17.0404,16.22927,15.78013,15.46724,GALAXY,0.06530165,1837,53494,243
17.6754,15.92597,15.17594,14.77674,14.48206,GALAXY,0.03633082,1854,53566,218
18.3269,17.24025,17.19514,17.23162,17.28259,STAR,-0.000295763,1414,53135,239
18.11118,16.42042,15.70562,15.28526,14.97028,GALAXY,0.03056728,2527,54569,434
18.48581,17.20809,16.72468,16.41883,16.20903,GALAXY,0.04401158,2969,54586,543
18.78452,17.74051,17.44121,17.22335,17.21181,GALAXY,0.03481096,1571,53174,249
19.47154,17.92156,17.31091,17.06589,16.9299,STAR,8.935332E-05,2177,54557,118
19.06611,17.88466,17.3486,17.01792,16.78597,GALAXY,0.05288087,1822,53172,618
18.82855,17.50823,24.7901,16.62853,17.42692,STAR,0.0002902198,2198,53918,446
16.58497,15.10087,14.59077,14.42035,14.37823,STAR,-0.0001733191,2177,54557,557
18.21481,17.1466,16.9607,16.88678,16.90776,STAR,-0.0007690657,2177,54557,618
18.22393,16.75562,16.22042,16.01612,16.00056,STAR,-0.0001119775,1822,53172,605
18.19809,16.2779,15.40879,14.99987,14.67551,GALAXY,0.04644271,1423,53167,5
18.13385,17.19508,16.85424,16.70582,16.65309,STAR,-0.0008586462,2526,54582,373
17.21524,15.99451,15.44832,15.24172,15.12823,STAR,-0.0005970199,2177,54557,209
19.17006,17.88899,16.93136,16.51847,16.12032,GALAXY,0.3081697,1729,53858,370
18.33937,16.855,16.19816,15.90563,15.76054,STAR,2.262858E-05,2808,54524,79
18.89706,17.23533,16.45996,16.13946,15.97109,STAR,-0.0005757063,2177,54557,502
18.91407,17.88951,17.41625,17.14917,17.04389,GALAXY,0.05505446,1423,53167,26
17.7978,16.81111,16.43272,16.28029,16.23046,STAR,-0.00059715,2951,54592,583
16.38867,15.21307,14.78124,14.6202,14.5785,STAR,-0.0001435189,2808,54524,49
19.14619,17.92305,17.3008,16.91019,16.65747,GALAXY,0.09036668,2198,53918,456
18.63759,17.47747,17.04221,16.80315,16.66444,GALAXY,0.04399605,1423,53167,55
18.89227,18.47416,18.47839,18.28527,18.17635,QSO,0.5221213,1854,53566,572
18.16426,16.62642,15.87551,15.47693,15.13892,GALAXY,0.03548444,1691,53260,132
18.26159,16.90268,16.36831,16.01956,15.84196,GALAXY,0.06039602,1423,53167,83
19.07659,18.99609,18.69194,18.62533,18.59084,QSO,1.335596,2198,53918,281
19.03631,18.77563,18.85748,18.99149,19.21378,QSO,2.674538,977,52410,150
19.25179,18.19431,17.80532,17.61953,17.53032,STAR,-0.0005753062,4808,55705,442
19.34259,17.97805,17.11285,16.65633,16.29794,GALAXY,0.1153398,1423,53167,69
18.33691,18.11346,17.8093,17.65957,17.39959,QSO,0.26028,2969,54586,576
16.59189,15.48796,15.26211,15.1879,15.20623,STAR,0.0001792647,2808,54524,98
18.21977,17.10397,16.63198,16.40905,16.30126,STAR,-0.0003025547,2177,54557,516
17.18025,15.27037,14.38572,13.96658,13.63794,GALAXY,0.04274674,2525,54569,263
19.2072,18.20144,17.69202,17.4157,17.28567,GALAXY,0.08513139,1854,53566,230
19.19422,18.17089,17.58693,17.25432,17.02447,GALAXY,0.07127361,2527,54569,387
17.1698,16.18735,15.83997,15.70093,15.65286,STAR,-0.000496309,1414,53135,391
19.43312,18.48763,17.96245,17.78475,17.49336,QSO,3.257618,5000,55715,232
18.17165,16.87669,16.29366,15.97074,15.76663,GALAXY,0.03469727,2970,54589,267
19.08636,18.08095,17.64504,17.28738,17.16828,GALAXY,0,1659,53224,224
17.77623,15.97813,15.17255,14.84166,14.66368,STAR,-5.905351E-05,2808,54524,39
19.05542,17.40747,16.44298,15.97628,15.5816,GALAXY,0.1047867,5000,55715,302
18.28459,16.83486,16.31888,16.11296,16.05766,STAR,-0.0002044731,977,52410,269
19.03186,17.68248,17.40473,17.34469,17.25614,STAR,0.004037901,1854,53566,538
18.7429,17.85902,17.6939,17.53723,17.33858,GALAXY,0.03538877,2527,54569,388
18.82742,16.84063,15.93395,15.50241,15.16308,GALAXY,0.06203465,1658,53240,36
18.91056,17.63714,16.89218,16.506,16.25157,GALAXY,0.09645974,1572,53177,47
19.2982,18.22186,18.16894,18.16101,18.23776,STAR,8.931022E-05,1728,53228,187
19.14056,17.88768,17.34341,16.96262,16.76338,GALAXY,0.08627789,977,52410,627
16.60062,16.31241,16.29821,16.30929,16.36574,STAR,-0.0005120633,2969,54586,266
18.14292,17.74537,17.58131,17.57654,17.47079,QSO,0.7628108,343,51692,187
18.91706,17.53937,16.8832,16.5381,16.32166,GALAXY,0.04679384,980,52431,534
18.47628,17.42117,16.95903,16.76128,16.68885,STAR,-0.0003930928,2177,54557,526
17.3171,16.22311,15.84207,15.54644,15.37939,GALAXY,0.04426618,977,52410,239
19.0967,17.98872,17.46365,17.04662,16.83657,GALAXY,0.06867397,2523,54572,588
18.91903,17.51502,16.98321,16.74175,16.63449,STAR,-0.0002211052,2177,54557,561
17.78117,16.90594,16.66382,16.58766,16.57213,GALAXY,0,1659,53224,436
17.14709,16.23335,15.95108,15.85609,15.83233,STAR,-0.0006890947,1854,53566,468
18.91436,17.86937,17.08327,16.60386,16.29218,GALAXY,0.1047542,2829,54623,183
17.84142,15.86003,14.98899,14.56649,14.25295,GALAXY,0.04470058,977,52410,273
18.15232,18.21701,18.20182,18.24681,17.72495,QSO,0.3011335,2198,53918,339
18.91645,17.63664,17.01833,16.62546,16.38594,GALAXY,0.07571382,2524,54568,575
19.39553,18.43385,18.14403,18.02226,17.91236,STAR,-0.0006385184,2969,54586,281
19.46937,17.98746,17.1793,16.70985,16.38249,GALAXY,0.06352462,1423,53167,169
19.11486,18.19247,17.85999,17.72283,17.69267,STAR,-0.0008356623,5001,55719,398
17.04543,15.60227,14.91287,14.54482,14.2675,GALAXY,0.05721016,4893,55709,678
19.17646,17.79534,17.09156,16.71887,16.47453,GALAXY,0.10124,1414,53135,319
19.11246,17.34722,16.4263,15.95007,15.59392,GALAXY,0.05350004,4071,55660,237
18.48467,15.88988,14.69966,14.28313,14.05291,STAR,-0.0001358318,2808,54524,270
19.49569,18.33011,17.68423,17.29545,17.06825,GALAXY,0.06561565,2523,54572,96
18.49967,17.54537,17.34542,17.16688,17.11038,GALAXY,0.0292171,978,52441,91
18.004,16.09243,15.19676,14.74247,14.38958,GALAXY,0.03838453,1691,53260,589
18.53047,16.65865,15.79631,15.39027,15.06109,GALAXY,0.06399573,1728,53228,428
17.16507,15.80411,15.27966,15.07256,14.98592,STAR,-0.0002985026,2797,54616,47
17.65621,16.28325,15.62222,15.30507,15.11404,STAR,-0.0004628152,2797,54616,90
17.41122,15.36441,14.45806,14.08916,13.86924,STAR,-0.0003004177,2797,54616,60
16.55708,15.23596,14.66218,14.44408,14.31791,STAR,-0.0003051463,2797,54616,206
19.08393,17.05352,16.07074,15.26042,14.70373,STAR,-7.143622E-05,2797,54616,242
18.0536,18.15384,18.54936,18.85337,19.07503,STAR,-2.132039E-05,2818,54616,185
18.93452,17.76336,17.3343,17.1649,17.07686,STAR,-0.0007671634,2797,54616,612
16.33695,15.98523,16.27252,16.47415,16.66978,STAR,0.000190914,2797,54616,229
19.11577,16.06313,14.88164,14.39847,14.10774,STAR,-0.0006268879,2797,54616,226
17.31751,16.30017,15.85039,15.65911,15.49902,STAR,0.0002398795,2818,54616,354
19.08602,17.67934,17.07099,16.83436,16.70637,STAR,-0.000284754,2797,54616,373
18.97871,17.00789,15.89822,15.40211,15.07995,STAR,0.0003625992,2535,54632,622
17.24223,15.60575,14.83835,14.53117,14.3421,STAR,1.81163E-05,2535,54632,625
19.44173,17.45662,16.06201,15.59788,15.46898,STAR,-0.001123417,2535,54632,380
19.16397,16.56705,15.33451,14.75852,14.39105,STAR,0.0004608973,2535,54632,488
18.63965,16.46395,15.33625,14.83405,14.49874,STAR,-0.0002959832,2535,54632,378
19.13192,16.66583,15.4407,14.93758,14.62377,STAR,-3.44873E-05,2535,54632,106
19.26392,17.30887,16.36819,15.94924,15.66692,STAR,-0.0001147235,2535,54632,174
17.81668,16.00332,14.994,14.52977,14.23498,STAR,-5.254863E-05,2535,54632,439
19.10943,15.62167,13.98891,16.92376,12.80147,STAR,0.0006156963,2535,54632,252
18.81541,17.31167,16.72662,16.53,16.42075,STAR,-0.0003201354,2796,54629,210
18.07891,17.86951,18.16071,18.40397,18.66033,STAR,-0.0004775476,348,51671,74
18.12765,16.74071,16.0601,15.64647,15.33968,GALAXY,0.05510195,348,51671,59
19.41083,17.99985,17.41205,17.16961,17.06187,STAR,-7.820025E-05,2796,54629,474
17.83137,16.6708,16.03738,15.59484,15.25476,GALAXY,-0.0002098321,2796,54629,529
18.17315,16.55649,15.9341,15.72089,15.61335,STAR,9.291726E-05,2796,54629,456
19.19845,18.01068,17.54359,17.24748,17.01307,GALAXY,0.05906265,348,51671,121
18.50831,17.5025,17.08781,16.93543,16.88316,STAR,0.0001785539,2796,54629,269
18.81957,17.55199,17.0225,16.80449,16.67638,STAR,-0.0001832331,2796,54629,383
19.4502,17.5645,16.74501,16.44444,16.28848,STAR,-1.80818E-05,2534,53917,297
18.65973,17.79801,17.50566,17.36857,17.3485,STAR,-0.001105316,2796,54629,386
19.27635,17.99304,17.47953,17.29088,18.2856,STAR,-7.320753E-05,348,51671,236
19.48045,18.01241,17.46789,17.26433,17.1835,STAR,9.615032E-06,2796,54629,384
19.4075,17.91802,17.36975,17.20596,17.10107,STAR,4.239925E-05,2796,54629,420
18.36893,16.86075,16.24824,16.03241,15.92376,STAR,-0.0001416821,2534,53917,95
18.82965,17.13096,16.43563,16.15948,16.02141,STAR,8.308196E-05,2534,53917,51
18.62899,17.65793,17.26364,17.09159,17.01244,STAR,0.0003819382,348,51671,434
19.24471,17.511,16.6343,16.20243,15.87308,GALAXY,0.04666546,364,52000,39
19.58091,19.3215,19.02742,18.69774,18.36108,QSO,2.129176,348,51671,395
17.54036,16.52512,16.2683,16.1649,16.14092,STAR,8.743523E-05,2817,54627,380
17.93584,16.83073,16.54256,16.45133,16.41039,STAR,-0.0001065208,348,51671,330
19.56898,16.6016,15.35436,14.81467,14.46838,STAR,-7.958936E-05,2534,53917,57
16.60771,14.97548,14.4505,14.27918,14.22793,STAR,-8.047743E-05,2796,54629,343
17.9281,16.8823,16.78114,16.78795,16.8064,STAR,-0.0009510407,2796,54629,345
16.38426,14.87947,14.48647,14.35146,14.29165,STAR,-0.0001382952,2812,54639,312
19.39653,17.35698,16.5484,16.26936,16.10586,STAR,-8.423549E-05,2534,53917,71
18.41809,17.35208,17.20655,17.15555,17.15863,STAR,-0.000123121,2210,53535,26
16.80206,15.71271,15.34778,15.21893,15.17912,STAR,5.828233E-05,2184,53534,206
19.12877,17.84834,17.28487,17.03798,16.91746,STAR,-0.0004109301,364,52000,568
18.61456,16.98128,16.29939,16.04192,15.90119,STAR,-7.771212E-05,2534,53917,515
19.57756,17.99647,17.37765,17.11062,16.98116,STAR,-1.19493E-05,2542,53919,477
18.65742,17.75579,17.28978,16.9428,16.7543,GALAXY,0.08595356,2533,54585,36
18.76085,17.14144,16.38906,16.02406,15.86752,STAR,0.0001935963,2812,54639,398
17.19043,15.79229,15.12769,14.82493,14.65444,STAR,-0.0001087139,2812,54639,466
16.99652,15.78453,15.51509,15.44196,15.44403,STAR,0.0002240638,2184,53534,182
18.70927,17.29745,16.68836,16.44662,16.32616,STAR,-0.0002415718,2534,53917,629
18.46032,16.37179,15.35767,14.85095,14.54873,GALAXY,0.0858354,2533,54585,550
19.43457,17.02471,15.72379,15.19263,14.88405,STAR,-0.001053664,2534,53917,581
17.5553,15.89429,15.77975,14.28621,13.84778,STAR,-0.0007302515,2812,54639,408
19.20973,17.20812,16.46926,16.23426,16.11428,STAR,-4.020654E-05,2534,53917,576
19.41849,18.02749,17.09539,16.62623,16.2707,GALAXY,0.1274073,2204,53877,39
19.19293,17.19947,16.24853,15.78967,15.41119,GALAXY,0.06530171,364,52000,164
19.22165,19.14052,19.10525,19.04723,18.91157,QSO,2.051964,2210,53535,190
19.51748,17.6486,16.80205,16.41365,16.08753,GALAXY,0.05683731,1567,53172,598
19.04095,17.74532,17.10901,16.80586,16.59928,STAR,-0.0002040685,2184,53534,483
18.90049,17.53152,17.01634,16.81866,16.74552,STAR,-2.293871E-05,2184,53534,80
18.97169,17.54306,16.9096,16.60918,16.42567,STAR,-0.0007636715,2534,53917,601
16.25182,14.15725,13.13341,13.10776,12.60541,STAR,-5.327143E-06,2534,53917,569
16.93501,15.44234,14.81104,14.56534,14.45029,STAR,-0.0001053237,2184,53534,558
19.48505,17.42899,16.47766,16.02974,15.68684,GALAXY,0.05210991,1425,52913,201
18.96798,17.42009,16.51087,16.06414,15.77888,STAR,-0.0007022026,2812,54639,361
18.8677,17.01419,16.12366,15.71118,15.40239,GALAXY,0.05463184,1567,53172,152
19.25949,17.25993,16.31405,15.87977,15.51287,GALAXY,0.05545625,364,52000,186
17.90207,17.50864,16.96372,16.53854,16.40786,QSO,0.17693,1567,53172,491
18.11246,16.66258,16.01568,15.73828,15.57848,STAR,0.0002080711,2812,54639,536
19.55984,18.23544,17.71267,17.56552,17.49206,STAR,-0.0002340846,1425,52913,250
19.34,18.00559,17.25094,16.80319,16.51791,GALAXY,0.08834904,2533,54585,504
17.978,16.74587,16.08474,15.70317,15.42136,GALAXY,0.05028881,2204,53877,593
17.88335,16.6595,16.18905,15.9534,15.83518,GALAXY,0.03323329,1567,53172,473
19.587,18.54439,17.63429,17.21947,16.83842,GALAXY,0.2453747,2210,53535,367
19.5481,17.44178,16.4497,15.99364,15.63432,GALAXY,0.08148775,1567,53172,230
17.44136,15.38881,14.46171,14.01857,13.66154,GALAXY,0.03212195,2532,54589,100
18.94948,16.94473,15.96213,15.46551,15.12711,GALAXY,0.05340786,1567,53172,431
19.55142,17.81211,16.71434,16.26323,15.9025,GALAXY,0.1287636,1425,52913,624
16.58285,15.49608,15.6671,15.82826,15.91131,STAR,-0.0005545386,2184,53534,323
19.08105,17.9565,17.43226,17.21515,17.11407,STAR,-0.001267086,2184,53534,617
17.6585,16.38919,15.94818,15.81321,15.73325,STAR,-0.0001753456,1425,52913,141
18.17007,16.64552,16.08757,15.89473,15.80567,STAR,-6.584905E-05,2183,53536,55
19.05289,19.05209,18.7201,18.64235,18.64497,QSO,1.396692,2532,54589,92
19.21586,18.03407,17.58097,17.28232,17.0478,GALAXY,0.04213708,2532,54589,103
18.79672,17.70515,17.25834,16.95001,16.78863,GALAXY,0.0575627,364,52000,346
18.06751,17.01061,16.76241,16.61843,16.56194,STAR,-0.0001967761,2204,53877,609
19.29512,17.20459,16.27868,15.83576,15.48746,GALAXY,0.06059783,4065,55368,821
18.66509,17.52487,17.18279,17.01972,16.97765,STAR,-0.0006550562,2183,53536,209
18.95031,17.83761,17.42232,17.25662,17.1832,STAR,2.237003E-05,2531,54572,30
19.12848,17.78318,16.96854,16.58033,16.3463,GALAXY,0.1018469,2951,54592,528
19.08834,18.20393,17.87211,17.74909,17.70199,STAR,-0.0001094297,2524,54568,187
18.38492,16.61442,15.74907,15.32478,14.99367,GALAXY,0.04446709,977,52410,481
16.49166,15.27096,15.16926,15.18506,15.25047,STAR,1.858434E-06,2969,54586,420
18.96752,17.94733,17.50365,17.18421,17.03393,GALAXY,0.09406099,2525,54569,427
19.32605,18.99478,19.09691,18.8344,18.58472,QSO,0.4705253,2951,54592,526
18.67285,17.37984,17.51905,17.64575,17.7096,STAR,-0.0007421615,1728,53228,245
16.86856,15.92492,15.57798,15.44008,15.40281,STAR,-0.0005005946,1572,53177,83
19.31972,17.93997,17.52246,17.25584,17.13926,GALAXY,0.03739591,2969,54586,419
19.20936,17.07975,16.13853,15.6929,15.34298,GALAXY,0.07525873,977,52410,394
19.12964,18.07824,17.6738,17.48195,17.41546,STAR,-0.0002830276,2808,54524,514
19.31924,18.04912,17.19503,16.81922,16.63331,STAR,-0.0003141423,2523,54572,510
18.30679,17.27596,16.90446,16.78623,16.72453,STAR,-0.000229608,2177,54557,424
19.2367,17.67608,16.90495,16.44461,16.12365,GALAXY,0.07185274,2523,54572,205
18.83238,17.48695,17.15912,16.97816,16.94184,GALAXY,0.03613401,2968,54585,558
19.4525,18.55096,18.58946,17.99625,17.89329,STAR,-0.0003463756,1727,53859,46
18.88246,18.97413,19.3511,19.70041,19.981,STAR,-0.0001023269,4893,55709,480
19.54144,17.92003,17.06608,16.60825,16.25935,GALAXY,0.03984212,2523,54572,210
18.0542,16.55642,15.98969,15.78371,15.697,STAR,0.0001846769,2177,54557,394
19.52234,18.06841,17.15145,16.68262,16.34066,GALAXY,0.110791,1854,53566,343
19.33163,17.83261,17.22706,16.85697,16.62718,GALAXY,0.06303427,1423,53167,264
18.56383,17.60544,17.28759,17.16732,17.1315,STAR,-0.0005742023,4185,55469,956
19.2285,17.23953,16.28407,15.86064,15.49925,GALAXY,0.1052461,5002,55710,45
16.98825,15.74342,15.21488,14.98872,14.87981,STAR,-8.719795E-05,2177,54557,338
19.29044,18.00508,17.38707,17.0031,16.80158,GALAXY,0.06710842,1726,53137,29
19.01392,18.2202,17.93806,17.57711,17.5567,GALAXY,0.09300058,1690,53475,203
19.31297,18.09975,17.58971,17.41008,17.2831,STAR,-2.919572E-05,3289,54910,634
17.67979,16.52195,16.31981,16.26823,16.26468,STAR,-0.0001863615,2808,54524,537
18.65107,17.32587,16.59889,16.18035,15.88299,GALAXY,0.07374202,2525,54569,346
19.49396,18.30975,18.22243,18.30483,18.36754,STAR,-0.0007157479,977,52410,386
18.37341,17.26241,16.89564,16.65598,16.40714,GALAXY,0.03361941,2951,54592,473
16.51948,15.55227,15.23148,15.10386,15.07367,STAR,0.0002195607,2177,54557,342
18.82771,18.60549,18.47034,18.31683,18.37086,QSO,1.447,2968,54585,553
19.19419,17.44278,16.64242,16.24782,15.95334,GALAXY,0.04493869,1727,53859,598
15.96356,14.71226,14.28894,14.13146,14.10053,STAR,3.563405E-05,2177,54557,376
18.74175,17.53445,17.31202,17.21148,17.21676,STAR,-6.643907E-05,1853,53566,94
18.73461,17.46717,16.67685,16.22361,15.91015,GALAXY,0.1324092,2197,53555,559
17.22973,16.13457,15.9222,15.85516,15.88092,STAR,5.179557E-05,2177,54557,373
18.80178,17.82311,17.53703,17.43841,17.42763,STAR,-0.0007025038,2808,54524,306
16.6287,14.79341,13.98957,13.57315,13.1955,GALAXY,0.03030854,2206,53795,143
17.26524,15.7039,15.08424,14.84849,14.74601,STAR,-0.000238836,2808,54524,313
18.84481,17.91972,17.64787,17.5382,17.5191,STAR,-0.0007216508,2177,54557,334
17.56118,16.19283,15.60019,15.29806,15.0979,GALAXY,0.03248969,2968,54585,612
18.81916,16.85205,15.77933,15.29349,14.8662,GALAXY,0.0915937,2951,54592,250
19.48322,18.13304,17.20215,16.72812,16.393,GALAXY,0.1841336,2974,54592,218
17.36751,16.43022,16.12958,16.02702,16.00366,STAR,-0.0003449618,2523,54572,539
19.1546,17.87554,17.38354,17.20365,17.14668,STAR,-0.0001416919,2177,54557,351
19.23365,18.63874,17.90046,17.5305,17.22461,QSO,0.2275183,1728,53228,288
19.28725,18.17736,17.60478,17.20709,16.9699,GALAXY,0.1069856,2524,54568,267
18.04379,16.87629,16.57026,16.37328,16.27908,STAR,-6.551999E-05,1822,53172,446
17.88139,16.95887,16.63535,16.51968,16.47958,STAR,0.0001543383,4879,55706,783
19.53628,18.23376,17.67934,17.36306,17.20712,GALAXY,0.09779162,2951,54592,402
18.58611,16.89759,15.9619,15.43274,15.05894,GALAXY,0.08147676,978,52441,266
